"","num","name","full_add","on_off","zip","salesman","lic_num","county","city","dvry_man","main_phone","contact_name","contact_phone","contact_email","lon","lat","geocode"
"21",1107,"Dallas Craft Company - Colleyville","5120 HWY 121, Colleyville, TX 76034","On Premise",76034,"Nathan Zaremba","RM951519","Tarrant","Colleyville","James Liston",NA,NA,NA,NA,-97.1002341,32.8837675,"1"
"22",1109,"On Tap","200 N. Mesquite Street, Arlington, TX 76011","On Premise",76011,"Brandon Pitzer","BG930162","Tarrant","Arlington","Kevin Whitehorse",NA,NA,NA,NA,-97.1059577,32.7385634,"1"
"23",1112,"Public School 972","14854 Montfort Drive, Addison, TX 75254","On Premise",75254,"Ethan Garrison","MB931724","Dallas","Addison","Harrison Boyland",NA,NA,NA,NA,-96.8177048,32.9499794,"1"
"24",1114,"The Backyard on Bell","410 N. Bell Avenue, Denton, TX 76209","On Premise",76209,"Nathan Zaremba","MB943784","Denton","Denton","Edgard Olvera",NA,NA,NA,NA,-97.1275462,33.2169233,"1"
"25",1118,"LG Taps","3619 Greenville Ave., Dallas, TX 75206","On Premise",75206,"Dominique Van Ausdall","MB966899","Dallas","Dallas","James Hall",NA,NA,NA,NA,-96.7703327,32.8315831,"1"
"26",1119,"Bluffview Growler","3850 W. NW Hwy., Dallas, TX 75220","On Premise",75220,"Ethan Garrison","BG964775","Dallas","Dallas","James Liston",NA,NA,NA,NA,-96.8513536,32.8609309,"1"
"27",1128,"Target 2425 - Ridgemar","751 Alta Mere Dr., Fort Worth, TX 76116","Off Premise",76116,"Justin Page","BQ695986","Tarrant","Fort Worth","Kevin Whitehorse",NA,NA,NA,NA,-97.4318738,32.7483042,"1"
"28",1132,"Target 2008 - Lake Worth","6604 Lake Worth Blvd, Lake Worth, TX 76135","Off Premise",76135,"Justin Page","BQ609739","Tarrant","Lake Worth","James Liston",NA,NA,NA,NA,-97.4300548,32.8140845,"1"
"29",1133,"Flamingo Liquor & Wine - Dallas","4125 Fairmount Street, Dallas, TX 75219","Off Premise",75219,"Brandon Byrd","BF941770","Dallas","Dallas","James Hall",NA,NA,NA,NA,-96.8169084,32.8078688,"1"
"30",1136,"Bar 2909","2909 Morton Street, Fort Worth, TX 76107","On Premise",76107,"Brandon Pitzer","MB937166","Tarrant","Fort Worth","Kevin Whitehorse",NA,NA,NA,NA,-97.3589,32.7488691,"1"
"31",1139,"HEB 423 - Waco - Wooded Acres","1301 Wooded Acres, Waco, TX 76710","Off Premise",76710,"Mark Molkenbuhr","BF422850","McLennan","Waco","Charles_3",NA,NA,NA,NA,-97.1892364,31.532631,"1"
"32",1141,"Book Club Cafe","107 E Kaufman St., Rockwall, TX 75087","On Premise",75087,"Hudson Boyd","BG929321","Rockwall","Rockwall","Harrison Boyland",NA,NA,NA,NA,-96.4598125,32.9318979,"1"
"33",1142,"Baker St. Pub and Grill","6333 Camp Bowie Blvd, Fort Worth, TX 76116","On Premise",76116,"Brandon Pitzer","MB579698","Tarrant","Fort Worth","Kevin Whitehorse",NA,NA,NA,NA,-97.4184685,32.7262209,"1"
"34",1145,"Rotolo's Pizzeria - Longview","3407 N Fourth Street, Longview, TX 75605","On Premise",75605,"Ronnie Esposito","RM955176","Gregg","Longview","Dalton Davis",NA,NA,NA,NA,-94.7318354,32.54564,"1"
"35",1159,"HEB 672 - Valley Mills","1821 S Valley Mills Dr., Waco, TX 76711","Off Premise",76711,"Mark Molkenbuhr","BF812195","McLennan","Waco","David Cash",NA,NA,NA,NA,-97.1372485,31.5237395,"1"
"36",1160,"HEB 583 - Woodway","9100 Woodway Dr., Woodway, TX 76712","Off Premise",76712,"Mark Molkenbuhr","BQ560175","McLennan","Woodway","David Cash",NA,NA,NA,NA,-97.2219736,31.4950429,"1"
"37",1169,"Haystack - Dallas","3838 Oak Lawn Ave, Dalla, TX 75219","On Premise",75219,"Ethan Garrison","MB970324","Dallas","Dalla","James Hall",NA,NA,NA,NA,-96.8014862,32.8144645,"1"
"38",1189,"Bubble & Squeak","425 Pinson Rd, Forney, TX 75126","Off Premise",75126,"Brandon Byrd","BF968744","Kaufman","Forney","David Cash",NA,NA,NA,NA,-96.4711167,32.7541564,"1"
"39",1194,"Bread Winners Cafe - Trophy Club","3000 Hwy 114 E, Trophy Club, TX 76262","On Premise",76262,"Nathan Zaremba","RM960642","Tarrant","Trophy Club","James Liston",NA,NA,NA,NA,-97.2348897,33.0116276,"1"
"40",1198,"Target 2042 - 7th Street","301 Carroll Street, Fort Worth, TX 76107","Off Premise",76107,"Justin Page","BQ609734","Tarrant","Fort Worth","Kevin Whitehorse",NA,NA,NA,NA,-97.3533438,32.7559145,"1"
"41",1199,"America Gardens","2833-37 Morton Street, Fort Worth, TX 76107","On Premise",76107,"Brandon Pitzer","MB957791","Tarrant","Fort Worth","John Munoz",NA,NA,NA,NA,-97.3580575,32.7489482,"1"
"42",1200,"EJ Wills Gastro Pub","18208 Preston Road, Dallas, TX 75252","On Premise",75252,"Hudson Boyd","RM953358","Dallas","Dallas","Harrison Boyland",NA,NA,NA,NA,-96.7937631,32.999857,"1"
"43",1207,"Rotolo's Pizzeria - Tyler","8970 S. Broadway Ave., Tyler, TX 75703","On Premise",75703,"Ronnie Esposito","RM883727","Smith","Tyler","David Cash",NA,NA,NA,NA,-95.3064115,32.2482193,"1"
"44",1236,"Cane Rosso - W Magnolia Ave","815 W Magnolia Ave, Fort Worth, TX 76104","On Premise",76104,"Brandon Pitzer","MB927976","Tarrant","Fort Worth","Kevin Whitehorse",NA,NA,NA,NA,-97.3331657,32.7304695,"1"
"45",1237,"Caskey's Bar and Grill - W Hickory St","1206 W Hickory St, Denton, TX 76201","On Premise",76201,"Nathan Zaremba","MB952662","Denton","Denton","Edgard Olvera",NA,NA,NA,NA,-97.1454756,33.2147406,"1"
"46",1238,"Fixture - Kitchen and Social Lounge - W Magnolia A","401 W Magnolia Ave, Fort Worth, TX 76104","On Premise",76104,"Brandon Pitzer","MB905218","Tarrant","Fort Worth","Kevin Whitehorse",NA,NA,NA,NA,-97.3291442,32.7304279,"1"
"47",1240,"LSA Burger Co. - W Hickory St","113 W Hickory St, Denton, TX 76201","On Premise",76201,"Nathan Zaremba","RM839263","Denton","Denton","Edgard Olvera",NA,NA,NA,NA,-97.1331299,33.214234,"1"
"48",1241,"Oni Ramen - W 7th St","2801 W 7th St, Forth Worth, TX 76107","On Premise",76107,"Brandon Pitzer","MB972766","Tarrant","Forth Worth","Kevin Whitehorse",NA,NA,NA,NA,-97.3566907,32.7508534,"1"
"49",1242,"Terra Mediterranean Grill - Crockett ST","2973 Crockett St, Fort Worth, TX 76107","On Premise",76107,"Brandon Pitzer","MB739599","Tarrant","Fort Worth","Kevin Whitehorse",NA,NA,NA,NA,-97.3598542,32.7499598,"1"
"50",1246,"Sugarbacon - McKinney","216 W. Virginia Street, McKinney, TX 75069","On Premise",75069,"Hudson Boyd","RM901412","Collin","McKinney","Mike Harrison",NA,NA,NA,NA,-96.6170964,33.198213,"1"
"51",1248,"Varsity Tavern","1005 Norwood Street, Fort Worth, TX 76107","On Premise",76107,"Brandon Pitzer","MB925257","Tarrant","Fort Worth","Kevin Whitehorse",NA,NA,NA,NA,-97.3599839,32.7489303,"1"
"52",1253,"Tom Thumb 3312 - W 7th St","2400 W 7th St, Fort Worth, TX 76107","Off Premise",76107,"Justin Page","BG964279","Tarrant","Fort Worth","Joe Castro",NA,NA,NA,NA,-97.3514026,32.7515549,"1"
"53",1258,"Neighbors Food N Brews - Richardson","508 W Lookout Dr, Richardson, TX 75080","Off Premise",75080,"Mason Lowe","BQ971446","Collin","Richardson","Mike Harrison",NA,NA,NA,NA,-96.7277259,32.9900669,"1"
"54",1265,"Radisson Fort Worth North","2540 Meacham Blvd., Fort Worth, TX 76106","On Premise",76106,"Brandon Pitzer","MB661028","Tarrant","Fort Worth","Kevin Whitehorse",NA,NA,NA,NA,-97.3146146,32.8236871,"1"
"55",1268,"Happiest Hour","2616 Olive Street, Dallas, TX 75201","On Premise",75201,"Ronnie Esposito","MB918752","Dallas","Dallas","James Hall",NA,NA,NA,NA,-96.8066739,32.7911613,"1"
"56",1281,"Prohibition Chicken - Lewisville","201 W Church St, Lewisville, TX 75057","On Premise",75057,"Nathan Zaremba","RM974213","Denton","Lewisville","Edgard Olvera",NA,NA,NA,NA,-96.996747,33.0474084,"1"
"57",1301,"6S Spirits - Trophy Club","2003 E Highway 114 STE 425, Trophy Club, TX 76262","Off Premise",76262,"Brian Schick","BF915826","Denton","Trophy Club","James Liston",NA,NA,NA,NA,-97.2341232,33.010249,"1"
"58",1302,"6S Liquor - Little Elm","26411 Hwy 380 Suite B, Little Elm, TX 76227","Off Premise",76227,"Brian Schick","BF947009","Denton","Little Elm","Edgard Olvera",NA,NA,NA,NA,-96.9758932,33.2238498,"1"
"59",1307,"OV-10 Bronco Association, Inc.","3300 Ross Avenue, Fort Worth, TX 76106","On Premise",76106,"House Accounts DFW","SB2680262","Tarrant","Fort Worth","Kevin Whitehorse",NA,NA,NA,NA,-97.3558797,32.8056461,"1"
"60",1309,"The Sunshine Club","902 W Division St, Arlington, TX 76012","On Premise",76012,"Brandon Pitzer","MB214978","Tarrant","Arlington","Kevin Whitehorse",NA,NA,NA,NA,-97.1173112,32.7389003,"1"
"61",1310,"Come and Take It","301 E. Larkin Street, Athens, TX 75751","On Premise",75751,"Ronnie Esposito","BQ829051","Henderson","Athens","Dalton Davis",NA,NA,NA,NA,-95.8523436,32.2066859,"1"
"62",1311,"Dough Bro's Italian Kitchen - The Colony","2851 Plano Pkwy, The Colony, TX 75056","On Premise",75056,"Hudson Boyd","MB967679","Denton","The Colony","Edgard Olvera",NA,NA,NA,NA,-96.8645437,33.0581743,"1"
"63",1316,"Henderson Kitchen & Tap","2730 S. Central Expwy., McKinney, TX 75070","On Premise",75070,"Hudson Boyd","RM974509","Collin","McKinney","Mike Harrison",NA,NA,NA,NA,-96.6406871,33.1751799,"1"
"64",1317,"Lakeway Liquor - Gainesville","7750 E US Highway 82, Gainesville, TX 76240","Off Premise",76240,"Mason Lowe","BF649839","Cooke","Gainesville","Edgard Olvera",NA,NA,NA,NA,-97.0376203,33.6493862,"1"
"65",1319,"Free Play Arcade - Arlington","400 E South St, Arlington, TX 76010","On Premise",76010,"Brandon Pitzer","MB968834","Tarrant","Arlington","Kevin Whitehorse",NA,NA,NA,NA,-97.1031771,32.7343319,"1"
"66",1321,"Denton County Brewing Company","200 E McKinney St, Denton, TX 76201","On Premise",76201,"Nathan Zaremba","BG942111","Denton","Denton","Edgard Olvera",NA,NA,NA,NA,-97.1311845,33.2162125,"1"
"67",1324,"Tom Thumb 3854 - WD Tate","4000 William D Tate Ave., Grapevine, TX 76051","Off Premise",76051,"Brian Schick","BQ970270","Tarrant","Grapevine","James Liston",NA,NA,NA,NA,-97.1021286,32.8922182,"1"
"68",1326,"Target 2145 - S. Loop 288","1801 S. Loop 288, Denton, TX 76205","Off Premise",76205,"Brian Schick","BQ648231","Denton","Denton","Edgard Olvera",NA,NA,NA,NA,-97.0988572,33.1911968,"1"
"69",1329,"Total Wine #521 - Allen","190 East Stacy Rd, Allen, TX 75002","Off Premise",75002,"Mason Lowe","BF969026","Collin","Allen","Mike Harrison",NA,NA,NA,NA,-96.6580072,33.1279976,"1"
"70",1330,"The Franchise Grill & Bar","3000 Custer Rd #345, Plano, TX 75075","On Premise",75075,"Hudson Boyd","RM702183","Collin","Plano","Mike Harrison",NA,NA,NA,NA,-96.732211,33.0395176,"1"
"71",1331,"Lava Cantina - The Colony","5805 Grandscape Blvd, The Colony, TX 75056","On Premise",75056,"Hudson Boyd","MB834517","Denton","The Colony","Edgard Olvera",NA,NA,NA,NA,-96.8599776,33.0778957,"1"
"72",1334,"Caps & Flasks","109 N. Davis Street, Sulphur Springs, TX 75482","On Premise",75482,"Ronnie Esposito","RM949395","Hopkins","Sulphur Springs","David Cash",NA,NA,NA,NA,-95.6031513,33.1380403,"1"
"73",1344,"Imperial Ale & Spirits","717 S Interstate 35 E #132, Denton, TX 76205","Off Premise",76205,"Brian Schick","BF898358","Denton","Denton","Edgard Olvera",NA,NA,NA,NA,-122.4799985,37.7344395,"1"
"74",1345,"Dukes Travel Plaza","Dukes Travel Plaza, Canton, TX 75103","Off Premise",75103,"Ronnie Esposito","BQ972836","Van Zandt","Canton","David Cash",NA,NA,NA,NA,-95.921052,32.600881,"1"
"75",1347,"Stan's Lakeview Draft House","4847 Main St, The Colony, TX 75056","On Premise",75056,"Hudson Boyd","MB893985","Denton","The Colony","Edgard Olvera",NA,NA,NA,NA,-96.8938751,33.0773822,"1"
"76",1349,"Tom Thumb 3853 - Hardin Blvd - McKinney","3001 Hardin Blvd, McKinney, TX 75070","Off Premise",75070,"Mason Lowe","BQ970269","Collin","McKinney","Mike Harrison",NA,NA,NA,NA,-96.6637072,33.1666443,"1"
"77",1350,"Target 1922 - Burleson","200 NW John Jones Drive, Burleson, TX 76028","Off Premise",76028,"Justin Page","BQ651551","Johnson","Burleson","Kevin Whitehorse",NA,NA,NA,NA,-97.3492419,32.5241529,"1"
"78",1351,"Tarrant Liquor","5250 N. Tarrant Pkwy., Fort Worth, TX 76137","Off Premise",76137,"Brian Schick","BF968387","Tarrant","Fort Worth","James Liston",NA,NA,NA,NA,-97.2708072,32.8939397,"1"
"79",1380,"Target 1517 - Flower Mound","5959 Long Prairie Road, Flower Mound, TX 75028","Off Premise",75028,"Brian Schick","BQ529591","Denton","Flower Mound","Edgard Olvera",NA,NA,NA,NA,-97.0838766,33.0675359,"1"
"80",1391,"Lekka Henderson","1921 N. Henderson Ave., Dallas, TX 75206","On Premise",75206,"Dominique Van Ausdall","MB976468","Dallas","Dallas","James Hall",NA,NA,NA,NA,-96.7753946,32.8117012,"1"
"81",1400,"Pie 314 Everyday Eatery","2560 King Arthur Blvd., Lewisville, TX 75056","On Premise",75056,"Nathan Zaremba","RM872137","Denton","Lewisville","Edgard Olvera",NA,NA,NA,NA,-96.8983597,33.0353472,"1"
"82",1402,"The Central Station","103 N. Main Street, Gladewater, TX 75647","On Premise",75647,"Ronnie Esposito","BG977122","Gregg","Gladewater","Dalton Davis",NA,NA,NA,NA,-94.9442832,32.5351274,"1"
"83",1405,"Applejack's Liquor - Denton","345 E. Hickory Street, Denton, TX 76201","Off Premise",76201,"Brian Schick","BF977307","Denton","Denton","Edgard Olvera",NA,NA,NA,NA,-97.1284505,33.2147534,"1"
"84",1411,"Cowburners","109 N. Johnson Street, Mineloa, TX 75773","On Premise",75773,"Ronnie Esposito","BG966485","Wood","Mineloa","Dalton Davis",NA,NA,NA,NA,-95.4892526,32.6640409,"1"
"85",1425,"City Works - Frisco","3680 The Star Blvd., Frisco, TX 75034","On Premise",75034,"Hudson Boyd","RM981575","Collin","Frisco","Mike Harrison",NA,NA,NA,NA,-96.8278562,33.1085733,"1"
"86",1428,"Wild Pitch - Fort Worth","4701 Citylake Blvd. W, Fort Worth, TX 76132","On Premise",76132,"Brandon Pitzer","RM974348","Tarrant","Fort Worth","Kevin Whitehorse",NA,NA,NA,NA,-97.411912,32.6802321,"1"
"87",1430,"The Colonnade Executive Lounge","15305 Dallas Parkway Suite 125, Addison, TX 75001","On Premise",75001,"Ethan Garrison","MB726778","Dallas","Addison","Harrison Boyland",NA,NA,NA,NA,-96.823167,32.9588726,"1"
"88",1441,"Tom Thumb 2557 - Gainsville","206 N. Grand, Grainsville, TX 76240","Off Premise",76240,"Mason Lowe","BQ528916","Cooke","Grainsville","Edgard Olvera",NA,NA,NA,NA,-97.1324884,33.6253812,"1"
"89",1442,"Total Wine #513 - Plano Pkwy","6400 W Plano Pkwy, Plano, TX 75093","Off Premise",75093,"Torie Shelton","BF962761","Collin","Plano","Mike Harrison",NA,NA,NA,NA,-96.8372774,33.0282924,"1"
"90",1443,"Athens Boathouse Restaurant","5401 Marina Drive, Athens, TX 75752","On Premise",75752,"Ronnie Esposito","RM974426","Henderson","Athens","David Cash",NA,NA,NA,NA,-95.7683951,32.2167678,"1"
"91",1445,"Skinner's Grocery & Market","1708 Judson Road, Longview, TX 75605","Off Premise",75605,"Ronnie Esposito","BF681479","Gregg","Longview","Dalton Davis",NA,NA,NA,NA,-94.7420634,32.5266922,"1"
"92",1446,"Spirit of a Hero Foundation","2221 Justin Road, Flower Mound, TX 75028","On Premise",75028,"None","TB2731619","Denton","Flower Mound","Charles_3",NA,NA,NA,NA,-97.0629108,33.0715075,"1"
"93",1447,"Guitars & Growlers","581 W. Campbell Road, Richardson, TX 75080","On Premise",75080,"Ethan Garrison","BG979792","Dallas","Richardson","Harrison Boyland",NA,NA,NA,NA,-96.7396145,32.9771186,"1"
"94",1454,"Mad Batter Baker","15615 Quorum Drive, Addison, TX 75001","On Premise",75001,"Ethan Garrison","BG989600","Dallas","Addison","Harrison Boyland",NA,NA,NA,NA,-96.8260432,32.9617698,"1"
"95",1455,"Wolfgang Puck Catering at Union Station","400 S Houston St, Dallas, TX 75202","On Premise",75202,"House Accounts DFW","MB707504","Dallas","Dallas","Kevin Whitehorse",NA,NA,NA,NA,-96.8075123,32.7761879,"1"
"96",1461,"Southern Ground Bottle Company Inc - Lindale","305 East Hubbard St. Suite C, Lindale, TX 75771","On Premise",75771,"Ronnie Esposito","BQ965650","Smith","Lindale","Dalton Davis",NA,NA,NA,NA,-95.4070859,32.5159247,"1"
"97",1464,"Wise Guys Pizzeria - Roanoke","311 South Oak Street, Roanoke, TX 76262","On Premise",76262,"Nathan Zaremba","BG974313","Denton","Roanoke","James Liston",NA,NA,NA,NA,-97.2311384,32.995843,"1"
"98",1466,"Discovery at the Realm","3600 Windhaven Pkwy., Lewisville, TX 75056","On Premise",75056,"Nathan Zaremba","BG952919","Denton","Lewisville","Edgard Olvera",NA,NA,NA,NA,-96.8989582,33.0572452,"1"
"99",1467,"AllGood Cafe","2934 Main St, Dallas, TX 75226","On Premise",75226,"Dominique Van Ausdall","BG476898","Dallas","Dallas","James Hall",NA,NA,NA,NA,-96.7807288,32.7843191,"1"
"100",1468,"Grub Burger Bar - Tyler","6421 South Broadway Street, Tyler, TX 75707","On Premise",75707,"Ronnie Esposito","RM930659","Smith","Tyler","David Cash",NA,NA,NA,NA,-95.3070649,32.279296,"1"
"101",1471,"District 30 Gastropub","3211 Oak Lawn Ave, Dallas, TX 75219","On Premise",75219,"Ethan Garrison","MB905671","Dallas","Dallas","James Hall",NA,NA,NA,NA,-96.8083272,32.8103097,"1"
"102",1472,"South Tyler Speakeasy","16884 FM 2493, Tyler, TX 75703","On Premise",75703,"Ronnie Esposito","N 555057","Smith","Tyler","David Cash",NA,NA,NA,NA,-95.3494241,32.2349376,"1"
"103",1483,"Applejack's Liquor - Lewisville","495 Hwy 121, Lewisville, TX 75067","Off Premise",75067,"Brian Schick","BF939027","Denton","Lewisville","Edgard Olvera",NA,NA,NA,NA,-96.977545,32.9926992,"1"
"104",1485,"Scotties #1","401 W. Hawkins Pkwy., Longview, TX 75605","Off Premise",75605,"Ronnie Esposito","BF851762","Gregg","Longview","Dalton Davis",NA,NA,NA,NA,-94.754946,32.5471865,"1"
"105",1486,"Scotties #2","1155 E. Hawkins Pkwy., Longview, TX 75605","Off Premise",75605,"Ronnie Esposito","BF977934","Gregg","Longview","Dalton Davis",NA,NA,NA,NA,-94.7197039,32.5469863,"1"
"106",1487,"Harley's #22","600 E. Marshall Ave., Longview, TX 75601","Off Premise",75601,"Ronnie Esposito","P692931","Gregg","Longview","Dalton Davis",NA,NA,NA,NA,-94.7321967,32.5007766,"1"
"107",1488,"Harley's #19","1302 Loop 281 West, Longview, TX 75604","Off Premise",75604,"Ronnie Esposito","P692937","Gregg","Longview","Dalton Davis",NA,NA,NA,NA,-94.771421,32.5315453,"1"
"108",1489,"Herb & Dee's Break Room","1408 W. Marshall Ave., Longview, TX 75604","On Premise",75604,"Ronnie Esposito","N921491","Gregg","Longview","Dalton Davis",NA,NA,NA,NA,-94.7695226,32.5036499,"1"
"109",1496,"Dough Bro's Italian Kitchen","5181 Keller Springs, Dallas, TX 75248","On Premise",75248,"Ethan Garrison","RM772303","Dallas","Dallas","Harrison Boyland",NA,NA,NA,NA,-96.8204877,32.9690932,"1"
"110",1497,"Whistle Britches","6110 Frankford Road, Dallas, TX 75252","On Premise",75252,"Hudson Boyd","RM896002","Dallas","Dallas","Harrison Boyland",NA,NA,NA,NA,-96.7995589,32.9977368,"1"
"111",1500,"Cigarette Mart - Lewisville","998 N. Garden Ridge Blvd., Lewisville, TX 75077","Off Premise",75077,"Brian Schick","BQ798936","Denton","Lewisville","Edgard Olvera",NA,NA,NA,NA,-97.0362787,33.0562921,"1"
"112",1501,"Muddy Jake's Sports Grille & Pub","229 Main St, Sulphur Springs, TX 75482","On Premise",75482,"Ronnie Esposito","RM857153","Hopkins","Sulphur Springs","Dalton Davis",NA,NA,NA,NA,-95.6027818,33.1378817,"1"
"113",1504,"Museum Hospitality Inc. - Kimbell Art Museum","3333 Camp Bowie Blvd., Fort Worth, TX 76107","On Premise",76107,"Brandon Pitzer","BG440055","Tarrant","Fort Worth","Kevin Whitehorse",NA,NA,NA,NA,-97.3650766,32.7486463,"1"
"114",1507,"Scotties - Rockwall","2860 Ridge Road, Rockwall, TX 75032","Off Premise",75032,"Brandon Byrd","BF693288","Rockwall","Rockwall","James Hall",NA,NA,NA,NA,-96.471753,32.892704,"1"
"115",1513,"WFM #10627 - Irving","6741 N. MacArthur Blvd., Irving, TX 75039","Off Premise",75039,"Justin Page","BG941010","Dallas","Irving","Jack Stephenson",NA,NA,NA,NA,-96.9603382,32.9013187,"1"
"116",1514,"Cheer Spirits & Liquor - Longhorn Rd","1201 Longhorn Rd Suite 125, Fort Worth, TX 76179","Off Premise",76179,"Justin Page","BF977479","Tarrant","Fort Worth","James Liston",NA,NA,NA,NA,-97.3847062,32.8473961,"1"
"117",1517,"Big Papa's Liquor - Longview","880 E Loop 281, Longview, TX 75605","Off Premise",75605,"Ronnie Esposito","BF759422","Gregg","Longview","Dalton Davis",NA,NA,NA,NA,-94.7041316,32.5286579,"1"
"118",1518,"3 Flights Up","2832 Eldorado Pkwy, Little Elm, TX 75068","On Premise",75068,"Hudson Boyd","BG971775","Denton","Little Elm","Edgard Olvera",NA,NA,NA,NA,-96.8851827,33.1768647,"1"
"119",1519,"Cooter's Spirits","300 W. Walcott, Jefferson, TX 75657","Off Premise",75657,"Ronnie Esposito","BF759224","Marion","Jefferson","Dalton Davis",NA,NA,NA,NA,-94.3542048,32.7592016,"1"
"120",1523,"Panther Quick Stop","4405 GIlmer Road, Longview, TX 75604","Off Premise",75604,"Ronnie Esposito","BQ976205","Gregg","Longview","Dalton Davis",NA,NA,NA,NA,-94.8046196,32.56564,"1"
"121",1524,"Twisted Sisters Wine & Finds","104 E. Market Street, Mabank, TX 75147","Off Premise",75147,"Ronnie Esposito","BG976924","Kaufman","Mabank","David Cash",NA,NA,NA,NA,-96.1008171,32.3660858,"1"
